Employee_ID,Attrition_rate
EID_22713,0.18663475
EID_9658,0.29879946
EID_22203,0.40124175
EID_7652,0.10368881
EID_6516,0.20899189
EID_20283,0.18806526
EID_21014,0.2425867
EID_7693,0.13990605
EID_13232,0.14498127
EID_6515,0.3339283
EID_13639,0.3003509
EID_14669,0.21122432
EID_16537,0.31617326
EID_5782,0.33797967
EID_20157,0.30071384
EID_1855,0.15543184
EID_20748,0.22660747
EID_23179,-0.046435833
EID_12838,0.19177747
EID_21656,-0.00017976761
EID_8844,0.32988545
EID_1536,0.16505784
EID_8822,0.36938733
EID_11398,0.10974485
EID_12965,0.06878707
EID_5204,0.2278811
EID_10030,0.33331794
EID_13227,0.21844089
EID_20607,0.21976593
EID_14070,0.21402836
EID_3755,0.14979783
EID_5459,0.2545539
EID_7697,0.3358937
EID_3935,0.074775636
EID_19046,0.3613956
EID_4040,0.19068062
EID_17730,0.15287185
EID_4995,0.22680399
EID_24653,0.2320202
EID_6978,0.22398451
EID_13775,0.17299306
EID_14608,0.2613551
EID_3148,0.33366072
EID_24868,0.12311226
EID_5521,0.13491544
EID_21155,0.11273965
EID_3840,0.37211302
EID_10646,0.11471233
EID_6711,0.154547
EID_16247,0.10350564
EID_16789,0.13112411
EID_17967,0.06515911
EID_13270,0.29383838
EID_18462,0.027960092
EID_22248,0.15665132
EID_22693,0.38341337
EID_25662,0.30650902
EID_23346,0.07579139
EID_4437,0.12206766
EID_18108,0.1656172
EID_7000,0.07075587
EID_22770,0.17170703
EID_7816,0.16590321
EID_19615,0.113726854
EID_23807,0.31013182
EID_16764,0.37222517
EID_16818,0.02876681
EID_22712,0.17054531
EID_18198,0.21485016
EID_11154,0.018223643
EID_22137,0.28007883
EID_11655,0.30140263
EID_18514,0.34112293
EID_24742,0.13133898
EID_16019,0.4106644
EID_7357,0.3602997
EID_20106,0.26794487
EID_13284,0.2921392
EID_5451,0.39449832
EID_19728,0.1872082
EID_9178,0.24386743
EID_13177,0.23712915
EID_14300,0.11996588
EID_4379,0.27944878
EID_11285,0.06948528
EID_14882,0.14449254
EID_9969,0.19546416
EID_23643,0.1738519
EID_5935,0.24152291
EID_7741,0.31515032
EID_6176,0.2284708
EID_5418,0.30059442
EID_20626,0.23375162
EID_1725,0.26084524
EID_14317,0.21829689
EID_12120,0.22476369
EID_20264,0.17415354
EID_16691,0.09532389
EID_1093,0.09949967
EID_2565,0.0652428
EID_11463,0.16649315
EID_12005,0.12775049
EID_10326,0.13566282
EID_12582,0.16517925
EID_18228,0.18444234
EID_11670,0.09149
EID_24257,0.21201134
EID_7024,0.17587045
EID_10382,0.20704606
EID_20210,0.16043049
EID_10294,0.15439034
EID_19941,0.1926724
EID_25572,0.19033319
EID_7758,0.27389637
EID_22718,0.22084922
EID_1078,0.2857238
EID_8227,0.31839958
EID_1702,0.19881883
EID_3532,0.24619833
EID_22452,0.17292416
EID_3019,0.15977141
EID_22264,0.2117494
EID_9866,0.16840279
EID_3520,0.4604485
EID_21098,0.3683382
EID_1186,0.15178135
EID_12355,0.02944681
EID_11020,0.1311799
EID_19193,-0.020789623
EID_17787,0.025321126
EID_13719,0.035400808
EID_24449,0.26034218
EID_12957,0.28488475
EID_24794,0.23421735
EID_2866,0.15835801
EID_10563,0.16650718
EID_22492,0.23338908
EID_4106,0.27370217
EID_6648,0.11732271
EID_7209,0.021481156
EID_9692,0.051766396
EID_22763,0.054454476
EID_12622,0.14358884
EID_9831,0.19526085
EID_5731,0.15527415
EID_1114,0.14560425
EID_25017,0.1756888
EID_22956,0.12550998
EID_5549,0.25135946
EID_12022,0.37643543
EID_8034,0.19306228
EID_20644,0.15495554
EID_20125,0.11056158
EID_21957,0.24045733
EID_8870,0.13998026
EID_2305,0.15207699
EID_3977,0.06068763
EID_14845,0.24600118
EID_6629,0.27550042
EID_14577,0.27689663
EID_24509,0.09075698
EID_1530,-0.063061655
EID_21524,0.25635964
EID_6647,0.306193
EID_19730,0.44285998
EID_4424,0.070361644
EID_7964,0.23925209
EID_6289,0.2190203
EID_2899,0.32124597
EID_2827,0.37041348
EID_8801,0.22970223
EID_20454,0.36983174
EID_18988,0.13470429
EID_8405,0.14894012
EID_14497,0.24859622
EID_11769,0.15113437
EID_21353,0.045691162
EID_2221,0.1835311
EID_13218,0.14746529
EID_4576,0.03466758
EID_17470,0.15186244
EID_14817,0.07071939
EID_21845,0.037499398
EID_21987,0.25304365
EID_1168,0.25983405
EID_14315,0.3233506
EID_5043,0.44599152
EID_1967,0.1621989
EID_22274,0.1576019
EID_11091,0.101915866
EID_18421,0.18309808
EID_8316,0.20499128
EID_13308,0.27336574
EID_19481,0.30078596
EID_17732,0.1598298
EID_4504,0.2088413
EID_2539,0.09876481
EID_19529,0.16944104
EID_2279,0.09795213
EID_14508,0.24824011
EID_12241,0.18519595
EID_11530,0.15507513
EID_20147,0.12611207
EID_6154,0.16062316
EID_3523,0.07047585
EID_20453,0.2102921
EID_11929,0.29668888
EID_12840,0.1450867
EID_22320,0.025545746
EID_25383,0.054035187
EID_10731,0.22333044
EID_1017,0.41392973
EID_1819,0.14545333
EID_22849,-0.063966274
EID_12290,0.30384302
EID_24238,0.01338613
EID_3105,0.23883301
EID_14242,0.13305864
EID_16569,0.33919317
EID_8094,0.044175357
EID_7824,0.4491277
EID_8978,0.16233581
EID_25314,0.2584359
EID_17810,0.16363737
EID_14856,0.099918395
EID_22144,0.19681633
EID_23603,0.17580283
EID_7211,0.1030561
EID_19340,0.2528308
EID_1501,0.12229878
EID_22111,0.39472422
EID_16147,0.23998493
EID_16746,0.31613395
EID_20777,0.29618165
EID_12999,0.2149047
EID_21663,0.228069
EID_11862,0.20800719
EID_17683,0.32116756
EID_19819,0.19298688
EID_21562,0.2685793
EID_24390,-0.0021033287
EID_14444,-0.026808858
EID_3261,0.13886347
EID_7752,0.16261229
EID_3033,0.21850431
EID_22433,0.2566973
EID_23727,0.15437117
EID_24107,0.20879865
EID_22537,0.25600475
EID_13645,0.017128915
EID_16021,0.2518689
EID_19800,0.19715005
EID_1944,0.017190397
EID_15868,0.12459946
EID_22188,0.26506883
EID_13833,0.25721377
EID_15028,0.40060788
EID_24861,0.27928525
EID_13033,0.16469926
EID_23673,0.10771698
EID_13265,0.011387765
EID_23411,0.41497827
EID_3761,0.20960945
EID_7299,0.12338841
EID_2379,0.17416766
EID_18863,0.19381687
EID_12115,0.35227162
EID_23879,0.14573956
EID_16586,0.2165941
EID_19003,0.21102569
EID_11107,0.1811307
EID_15416,0.074977696
EID_19214,0.2736317
EID_5135,0.30551818
EID_22464,0.19110876
EID_22759,0.27365562
EID_17833,0.10604301
EID_17627,0.20184064
EID_25730,0.17171079
EID_2377,0.40738478
EID_18085,0.19987676
EID_14096,0.1548183
EID_8384,0.25752032
EID_17105,0.5416455
EID_9929,0.19241169
EID_13267,0.5878955
EID_12954,0.19147983
EID_4464,-0.026425958
EID_11464,0.18486431
EID_19308,0.052225053
EID_17530,0.1250591
EID_6981,0.13530129
EID_19951,0.084483474
EID_1100,0.30628008
EID_25145,-0.18621415
EID_15614,0.3827673
EID_2961,0.4348872
EID_1742,0.031428933
EID_2843,0.23161983
EID_9549,0.24256718
EID_12832,0.32545555
EID_17914,0.23342466
EID_22832,0.18884578
EID_5755,0.18271056
EID_1141,0.1438626
EID_18954,0.2550252
EID_10824,0.17808568
EID_24478,0.18010578
EID_14916,0.2043562
EID_4434,0.44027627
EID_23650,0.22227812
EID_16556,0.28822297
EID_24656,0.29463664
EID_25965,0.23958263
EID_9279,-0.07864797
EID_13802,0.1967901
EID_2748,0.2507128
EID_17346,0.43529177
EID_1171,0.40143627
EID_1552,0.071617275
EID_20674,0.27389497
EID_2475,0.13015175
EID_16714,0.31719208
EID_7857,0.25931394
EID_3294,0.17108372
EID_2280,-0.10176325
EID_10203,0.06555995
EID_22162,0.30216044
EID_10438,0.14369828
EID_12898,0.27919185
EID_4358,0.21921998
EID_6179,0.21755064
EID_2538,0.17558375
EID_13110,0.1969913
EID_24585,0.46091944
EID_1006,0.19762105
EID_11632,0.28024656
EID_21011,0.19782165
EID_16869,0.1732744
EID_20564,0.38341
